trial,angle_deg,adc_value,capture_date
1,0,1074,2026-05-07
1,30,955.2,2026-05-07
1,60,846.8,2026-05-07
1,90,725.9,2026-05-07
2,0,1070.6,2026-05-07
2,30,938.3,2026-05-07
2,60,901.4,2026-05-07
2,90,575.1,2026-05-07
3,0,1063.3,2026-05-07
3,30,1015.5,2026-05-07
3,60,1003.6,2026-05-07
3,90,889.6,2026-05-07
4,0,1046,2026-05-07
4,30,908.6,2026-05-07
4,60,995.6,2026-05-07
4,90,1001.4,2026-05-07
5,0,968.5,2026-05-07
5,30,1002.5,2026-05-07
5,60,936.2,2026-05-07
5,90,680.6,2026-05-07
6,0,1016.7,2026-05-07
6,30,921.2,2026-05-07
6,60,841.9,2026-05-07
6,90,893.4,2026-05-07
7,0,1052.3,2026-05-07
7,30,961.5,2026-05-07
7,60,910,2026-05-07
7,90,727.1,2026-05-07
8,0,998.9,2026-05-07
8,30,1011.8,2026-05-07
8,60,890.5,2026-05-07
8,90,901.9,2026-05-07
9,0,1062.3,2026-05-07
9,30,905.4,2026-05-07
9,60,1022.9,2026-05-07
9,90,589.2,2026-05-07
10,0,1008.2,2026-05-07
10,30,998.9,2026-05-07
10,60,900.2,2026-05-07
10,90,861,2026-05-07
